id,text,speaker,turn,emotion_major,emotion_minor,situation,gender,age,environment,cluster_l1,cluster_l2,text_length,session_id,length_quartile
1507_3_human,좋아하는 영화를 보면서 기분 전환을 해야겠어.,human,3,분노,툴툴대는,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,25,1507,short
15034_3_human,똑바로 얘기를 해야겠어. 도와줄 수 없다고.,human,3,분노,성가신,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,24,15034,short
36939_2_human,그래 스스로 알아서 할께.,human,2,분노,방어적인,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,14,36939,short
28951_2_human,자식들이 나를 믿지 못하는 것 같아서 속상해.,human,2,분노,구역질 나는,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,25,28951,short
13784_3_human,친구들한테 언니 욕을 할 거야.,human,3,분노,노여워하는,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,17,13784,short
14488_3_human,노동 말고 내가 할 수 있는 다른 일을 찾아볼래.,human,3,분노,짜증내는,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,27,14488,short
28407_2_human,전원에서 남편 그리고 아이들과 오손도손 살 거야.,human,2,분노,안달하는,"재정,은퇴,노후준비",여성,중년,,emotion_분노,"emotion_분노_situation_재정,은퇴,노후준비",27,28407,short
41999_2_human,계속 자책만 하게 되고 더 우울해지는 것만 같네.,human,2,분노,좌절한,"진로,취업,직장",남성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",27,41999,short
13891_1_human,나를 따돌리는 친구들이 진정한 친구들일까?,human,1,분노,분노,학교폭력/따돌림,여성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,23,13891,short
6451_2_human,그 친구 때문에 다른 친구랑 싸웠거든.,human,2,분노,악의적인,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,21,6451,short
38885_1_human,노년이 되니까 자녀들과 관계가 나빠졌어.,human,1,분노,분노,대인관계,여성,노년,,emotion_분노,emotion_분노_situation_대인관계,22,38885,short
19349_3_human,오늘은 친구한테 진지하게 이야기 해봐야겠어.,human,3,분노,성가신,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,24,19349,short
12323_1_human,내 아이가 성적을 너무 못 받아 왔어.,human,1,분노,노여워하는,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",21,12323,short
1053_2_human,무능한 사람으로 비추어지는 것 같아 괴로워.,human,2,분노,좌절한,"진로,취업,직장",남성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",24,1053,short
35789_3_human,응. 엄마가 너무 싫어.,human,3,분노,악의적인,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,13,35789,short
9577_3_human,가끔 해. 귀찮아서 자주는 안 가.,human,3,분노,성가신,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,19,9577,short
5352_1_human,이번에도 불합격이야.,human,1,분노,좌절한,"진로,취업,직장",남성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",11,5352,short
28920_2_human,아니. 잘 모르겠어.,human,2,분노,안달하는,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,11,28920,short
8340_3_human,걔가 사과할 때까지 절대 연락하지 않을 거야.,human,3,분노,노여워하는,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,25,8340,short
24700_3_human,그냥 친구를 위해 내가 계산해야겠어.,human,3,분노,성가신,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,20,24700,short
31550_1_human,우리 엄마 때문에 지금 너무 열받아.,human,1,분노,노여워하는,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,20,31550,short
4897_1_human,오늘 면접 봤는데 또 떨어질 것 같아.,human,1,분노,방어적인,"진로,취업,직장",여성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",21,4897,short
38404_3_human,이런 생각 하는 자신이 싫네.,human,3,분노,구역질 나는,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,16,38404,short
23590_3_human,시간 내서 진지하게 얘기해 봐야겠어.,human,3,분노,방어적인,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",20,23590,short
19821_2_human,내가 준 카드를 너무 막 쓰는 모습에 당황스러워.,human,2,분노,구역질 나는,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",27,19821,short
8503_1_human,남자친구 때문에 너무 짜증 나.,human,1,분노,짜증내는,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",17,8503,short
28852_1_human,요새 아내와 자주 다퉈서 귀찮아.,human,1,분노,성가신,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",18,28852,short
33880_3_human,맞아. 그 친구가 잘 살았으면 좋겠는데 말이야.,human,3,분노,악의적인,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,26,33880,short
20391_2_human,내가 필요할 때만 연락이 와.,human,2,분노,좌절한,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,16,20391,short
37482_3_human,누가 내 일에 관여 하는 게 나는 싫어.,human,3,분노,방어적인,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,22,37482,short
18862_1_human,우리 팀은 나만 열심히 일하고 다들 너무 게을러!,human,1,분노,툴툴대는,"직장, 업무 스트레스",여성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",27,18862,short
9271_1_human,다른 나라로 가서 취업해야 하나 생각 중이야.,human,1,분노,툴툴대는,"진로,취업,직장",여성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",25,9271,short
2261_1_human,친목회에 나가기가 꺼려져. 기분 상했어.,human,1,분노,툴툴대는,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",22,2261,short
48794_3_human,조금씩 용기를 내서 친구들에게 다가가 볼까 해.,human,3,분노,분노,학교폭력/따돌림,여성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,26,48794,short
41604_1_human,아내가 아파도 보약 한 첩을 못 해줬어.,human,1,분노,방어적인,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",22,41604,short
31174_3_human,학교 선생님한테 전화해서 항의하게.,human,3,분노,분노,건강,여성,중년,,emotion_분노,emotion_분노_situation_건강,19,31174,short
27095_1_human,몸이 아파서 며칠 동안 일을 못했어.,human,1,분노,분노,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,20,27095,short
39313_1_human,늙으니까 정말 자녀 관계가 나빠져서 문제야.,human,1,분노,노여워하는,"건강,죽음",여성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",24,39313,short
41613_1_human,오래 살고 싶지 않아.,human,1,분노,악의적인,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,12,41613,short
1895_3_human,팀장님께 면담을 신청해야겠어.,human,3,분노,툴툴대는,"진로,취업,직장",남성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",16,1895,short
27157_1_human,남편이 비상금을 나 몰래 만들어놨어.,human,1,분노,짜증내는,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,20,27157,short
357_2_human,애들이 나한테 왜 이렇게 못되게 구는 거지?,human,2,분노,노여워하는,학교폭력/따돌림,여성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,24,357,short
26293_3_human,앞으로는 직접 찾아보라고 얘기할 거야.,human,3,분노,성가신,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,21,26293,short
25767_3_human,영상 통화라도 보여 달라고 해야겠어.,human,3,분노,툴툴대는,대인관계,여성,노년,,emotion_분노,emotion_분노_situation_대인관계,20,25767,short
33157_1_human,결혼 준비하면서 짜증 나 죽겠어!,human,1,분노,짜증내는,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",18,33157,short
26078_2_human,급한데 동료가 자료를 안 넘겨주었어.,human,2,분노,안달하는,"직장, 업무 스트레스",여성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",20,26078,short
38272_1_human,이제는 이런 내가 지긋지긋해.,human,1,분노,짜증내는,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,16,38272,short
5065_1_human,나 노트북을 잃어버렸는데 어떡해?,human,1,분노,안달하는,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,18,5065,short
9907_1_human,지저분하고 더러워서 못 살겠어.,human,1,분노,구역질 나는,건강,여성,중년,,emotion_분노,emotion_분노_situation_건강,17,9907,short
8165_3_human,응. 그래서 나는 나 혼자 잘살아 보려고.,human,3,분노,방어적인,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",23,8165,short
4826_3_human,맛있는 것도 먹고 여러 체험도 해보려고 해.,human,3,분노,안달하는,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",24,4826,short
39997_3_human,밥해주고 해준 게 이렇게 많이 있다는 걸 몰랐어.,human,3,분노,방어적인,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,27,39997,short
8339_3_human,몰라 모든 걸 다 잃은 기분이야.,human,3,분노,좌절한,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,18,8339,short
12434_2_human,그런 여자하고 삼 년 동안 사귀었다는 게 수치다.,human,2,분노,구역질 나는,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",27,12434,short
39236_3_human,어떨 땐 너무 지쳐서 쓰러질 때도 있어.,human,3,분노,성가신,"건강,죽음",여성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",22,39236,short
34968_3_human,은행 직원 평가 페이지에 문의해야겠어.,human,3,분노,성가신,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,21,34968,short
6430_3_human,응. 대인관계에서 진절머리가 나.,human,3,분노,구역질 나는,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,18,6430,short
22296_2_human,왜 다른 친구도 있는데 내가 총무인지 화가 나.,human,2,분노,성가신,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,26,22296,short
51488_1_human,취직해야 하는데 들어갈 곳이 없어.,human,1,분노,노여워하는,"진로,취업,직장",여성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",19,51488,short
15062_1_human,엄마가 내 휴대폰을 뺏어갔어! 짜증 나!,human,1,분노,짜증내는,가족관계,남성,청소년,,emotion_분노,emotion_분노_situation_가족관계,22,15062,short
15918_3_human,아버지에게 솔직히 서운한 마음을 말해야겠어.,human,3,분노,툴툴대는,가족관계,남성,청소년,,emotion_분노,emotion_분노_situation_가족관계,24,15918,short
23277_1_human,아들이 컴퓨터를 바꿔 달라고 해서 아주 성가시네.,human,1,분노,성가신,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",27,23277,short
40531_2_human,준비하지 못한것이 많이 후회가돼.,human,2,분노,구역질 나는,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,18,40531,short
16235_1_human,병원에 가야 하는데 나가기 싫어.,human,1,분노,성가신,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,18,16235,short
14602_3_human,승진해보려고 노력하는 수밖에 없겠어.,human,3,분노,방어적인,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,20,14602,short
40137_3_human,응. 어떻게 해결해야 할지 모르겠어.,human,3,분노,방어적인,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",20,40137,short
42133_2_human,나는 왜 내 열등감을 친구에게 풀까.,human,2,분노,짜증내는,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,20,42133,short
28850_1_human,요새 내 기분이 너무 오락가락하는 것 같아.,human,1,분노,악의적인,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,24,28850,short
37746_2_human,그냥 싫어. 부모님께 얘기해서 못나가게 해야지.,human,2,분노,악의적인,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,26,37746,short
15261_3_human,같이 일한 친한 동료들과 따로 시간을 보낼 거야.,human,3,분노,노여워하는,"재정,은퇴,노후준비",여성,중년,,emotion_분노,"emotion_분노_situation_재정,은퇴,노후준비",27,15261,short
477_2_human,나는 선생님이 아니라 경찰관이 되고 싶은데.,human,2,분노,구역질 나는,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,24,477,short
12907_2_human,대학에 떨어질 것 같고 세상이 원망스러워.,human,2,분노,짜증내는,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,23,12907,short
33696_1_human,여자친구가 요즘 부쩍 내 휴대폰을 보려고 해.,human,1,분노,짜증내는,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",25,33696,short
35250_2_human,언니한테 얘기를 해서 이틀마다 하자고 할까?,human,2,분노,노여워하는,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,24,35250,short
30768_2_human,모아도 모자라.,human,2,분노,구역질 나는,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,8,30768,short
23420_3_human,대부업체에 찾아가서 잘 이야기해봐야겠어.,human,3,분노,좌절한,"재정,은퇴,노후준비",여성,중년,,emotion_분노,"emotion_분노_situation_재정,은퇴,노후준비",22,23420,short
37166_1_human,요즘 반 친구들이 계속 나를 귀찮게 해.,human,1,분노,성가신,학교폭력/따돌림,여성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,22,37166,short
3785_3_human,일기를 쓰는 것도 하나의 취미야.,human,3,분노,구역질 나는,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",18,3785,short
50616_3_human,책을 읽으면서 마음을 가라앉혀야겠어.,human,3,분노,짜증내는,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,20,50616,short
23422_2_human,돈을 어떻게 해서 벌어야 할까.,human,2,분노,좌절한,"재정,은퇴,노후준비",여성,중년,,emotion_분노,"emotion_분노_situation_재정,은퇴,노후준비",17,23422,short
50335_1_human,폐암에 걸리고 나서부터 아내와의 다툼이 잦아졌어.,human,1,분노,분노,"대인관계(부부, 자녀)",남성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",27,50335,short
9759_1_human,가끔 눈이 너무 건조하고 머리가 아파.,human,1,분노,악의적인,건강,여성,중년,,emotion_분노,emotion_분노_situation_건강,21,9759,short
33031_2_human,밤에 잠을 잘 수 없어서 힘들어.,human,2,분노,성가신,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",18,33031,short
31797_1_human,이번 수능 망했어.,human,1,분노,좌절한,학업 및 진로,남성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,10,31797,short
20728_3_human,이번 일만 끝나면 다른 회사를 알아 봐야겠어.,human,3,분노,분노,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,25,20728,short
16943_1_human,위층에서 소음이 너무 심해서 피곤해.,human,1,분노,툴툴대는,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",20,16943,short
14322_2_human,병원을 가서 약을 지어올지 말지 고민이야.,human,2,분노,분노,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,23,14322,short
28988_2_human,아내 눈에는 돈밖에 안 보이는 걸까?,human,2,분노,분노,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,20,28988,short
50449_2_human,모든 게 다 내 잘못 같아서 너무 힘들고 슬퍼.,human,2,분노,분노,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",26,50449,short
30370_1_human,요즘 공부할 게 너무 많아.,human,1,분노,구역질 나는,학업 및 진로,여성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,15,30370,short
39316_1_human,나는 왜 이렇게밖에 살 수 없을까?,human,1,분노,좌절한,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,19,39316,short
21998_3_human,아내에게 그런 행동은 싫다고 정확하게 말해야겠어.,human,3,분노,성가신,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",27,21998,short
21612_3_human,부모님과 진로에 대해 대화해봐야겠어.,human,3,분노,성가신,학업 및 진로,여성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,20,21612,short
15180_2_human,아침마다 반복되는 일상에 너무 지쳤어.,human,2,분노,짜증내는,"진로,취업,직장",남성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",21,15180,short
26278_2_human,친구가 내 험담을 다른 친구한테 했더라고.,human,2,분노,분노,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,23,26278,short
40096_1_human,나 이제 어떻게 살아가야 할지 모르겠어.,human,1,분노,방어적인,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",22,40096,short
16429_1_human,자식들이 매일 유산문제로 날 찾아와서 힘들게 해.,human,1,분노,노여워하는,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,27,16429,short
35298_3_human,걔한테 솔직히 말해 봐야겠어.,human,3,분노,악의적인,학업 및 진로,여성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,16,35298,short
19847_3_human,아내한테 본인이 하라고 이야기를 해야겠어.,human,3,분노,악의적인,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,23,19847,short
40303_1_human,얼마 전 가슴 아픈 일이 있었다네.,human,1,분노,성가신,대인관계,여성,노년,,emotion_분노,emotion_분노_situation_대인관계,19,40303,short
28399_1_human,우리 애들은 언제쯤 알아서 할는지.,human,1,분노,성가신,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",19,28399,short
39304_3_human,인생 다 살은 느낌이야. 절망 그 자체!,human,3,분노,성가신,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,22,39304,short
14888_2_human,그러니까. 돈 때문에 몸을 잃을 수도 있다니.,human,2,분노,좌절한,재정,남성,노년,,emotion_분노,emotion_분노_situation_재정,25,14888,short
19578_2_human,그 친구한테 뭐라고 해야 할지 고민 중이야.,human,2,분노,분노,학교폭력/따돌림,여성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,24,19578,short
19842_2_human,오늘 당한 일 때문에 기분이 아주 별로야.,human,2,분노,악의적인,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,23,19842,short
35970_3_human,내가 해야 할 일을 메모해서 보여줘야겠어.,human,3,분노,짜증내는,가족관계,여성,청소년,,emotion_분노,emotion_분노_situation_가족관계,23,35970,short
31080_3_human,일이 잘 끝나면 확실한 포상을 약속해야겠어.,human,3,분노,안달하는,"직장, 업무 스트레스",남성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",24,31080,short
10859_2_human,같은 모은 공동 경비 사용 문제로 싸웠어.,human,2,분노,분노,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,23,10859,short
2157_1_human,나는 또 지원금 선정 대상에서 제외되었나 봐.,human,1,분노,좌절한,"진로,취업,직장",여성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",25,2157,short
4810_1_human,남자친구 때문에 정말로 화가 나.,human,1,분노,분노,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",18,4810,short
2226_3_human,사실 어떻게 해도 불가능할 것 같아.,human,3,분노,성가신,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",20,2226,short
41635_3_human,앞으로 누구에게 기대 살아가야 하나 싶을 정도야.,human,3,분노,안달하는,"건강,죽음",여성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",27,41635,short
38401_1_human,젊어서 죽으면 정말 안타까운 일이네.,human,1,분노,방어적인,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",20,38401,short
40700_3_human,사는 것도 무의미 한 것 같아.,human,3,분노,성가신,재정,여성,노년,,emotion_분노,emotion_분노_situation_재정,17,40700,short
19494_3_human,아무런 생각도 들지 않아.,human,3,분노,좌절한,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,14,19494,short
27102_2_human,그냥 항암치료를 그만 받고 싶어. 너무 괴로워.,human,2,분노,안달하는,"건강,죽음",여성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",26,27102,short
23619_3_human,자식이 있는 친구들과 수다를 떨면서 풀어야겠어.,human,3,분노,성가신,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",26,23619,short
37257_2_human,나는 그런 짓 하는 인간만 보면 구역질이 나.,human,2,분노,구역질 나는,학교폭력/따돌림,남성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,25,37257,short
9427_1_human,내 몸 상태가 이렇게 나쁜 줄은 몰랐어.,human,1,분노,좌절한,건강,여성,중년,,emotion_분노,emotion_분노_situation_건강,22,9427,short
39761_1_human,자신을 싫어하는 이유가 있을까.,human,1,분노,구역질 나는,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,17,39761,short
9973_1_human,나 너무 화가 많이 나.,human,1,분노,분노,대인관계,여성,청년,,emotion_분노,emotion_분노_situation_대인관계,13,9973,short
39864_1_human,나는 무엇을 해도 잘 되지 않는 사람이야.,human,1,분노,안달하는,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,23,39864,short
23797_3_human,잠깐 여행을 갔다가 오면 기분이 나아질 거 같아.,human,3,분노,좌절한,"직장, 업무 스트레스",여성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",27,23797,short
47331_3_human,부모님이나 친구한테 고민을 말해봐야겠어.,human,3,분노,구역질 나는,건강,여성,중년,,emotion_분노,emotion_분노_situation_건강,22,47331,short
48316_3_human,모르겠어. 그냥 모든 게 다 내 탓 같아.,human,3,분노,노여워하는,"건강,죽음",여성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",23,48316,short
15114_1_human,예식장이 망해서 결혼식을 못한다니 어이가 없네.,human,1,분노,노여워하는,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",26,15114,short
36542_3_human,지금대로라면 어떻해든 노력해도 불가능할 것 같아.,human,3,분노,좌절한,학교폭력/따돌림,남성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,27,36542,short
16609_1_human,잠깐 한눈 판 사이에 홈쇼핑 영양제가 매진됐어.,human,1,분노,좌절한,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",26,16609,short
18553_3_human,새로운 집을 구하고 다시 시작해봐야지.,human,3,분노,분노,"대인관계(부부, 자녀)",여성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",21,18553,short
19554_3_human,나가서 커피 좀 마시고 와야겠어.,human,3,분노,방어적인,"직장, 업무 스트레스",여성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",18,19554,short
4082_2_human,헤어질 땐 헤어지더라도 이유를 알아야겠어.,human,2,분노,분노,"연애,결혼,출산",남성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",23,4082,short
570_2_human,응. 다들 걸어서 등교하니까 마주칠 것 같아.,human,2,분노,안달하는,학교폭력/따돌림,여성,청소년,,emotion_분노,emotion_분노_situation_학교폭력/따돌림,25,570,short
37082_3_human,선생님께 먼저 이야기 해둬야겠어.,human,3,분노,악의적인,학업 및 진로,여성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,18,37082,short
47795_2_human,이게 다 못난 내 몸 때문이겠지. 누굴 탓하겠어.,human,2,분노,노여워하는,"진로,취업,직장",여성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",27,47795,short
27500_1_human,남편은 국이 짜다고 잔소리만 해.,human,1,분노,성가신,"직장, 업무 스트레스",남성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",18,27500,short
11344_1_human,요즘 몸이 좀 이상해.,human,1,분노,구역질 나는,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,12,11344,short
28992_2_human,내 집인데 왜 자꾸 이렇게 들어오는 거지?,human,2,분노,분노,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,23,28992,short
49259_1_human,늙어서 자식들이 찾아오지 않으니 속상하네.,human,1,분노,악의적인,대인관계,남성,노년,,emotion_분노,emotion_분노_situation_대인관계,23,49259,short
45485_3_human,난 이미 망해버렸어. 재활도 하고 싶지 않아.,human,3,분노,툴툴대는,대인관계,남성,청년,,emotion_분노,emotion_분노_situation_대인관계,25,45485,short
32056_1_human,내 친구가 갑자기 죽어서 화가 나.,human,1,분노,노여워하는,"건강,죽음",남성,노년,,emotion_분노,"emotion_분노_situation_건강,죽음",19,32056,short
46725_2_human,난 이 세상에 혼자 남겨질 운명으로 태어났나 봐.,human,2,분노,구역질 나는,대인관계,여성,노년,,emotion_분노,emotion_분노_situation_대인관계,27,46725,short
17515_1_human,나를 살림하는 기계로 대하는 남편이 화가 나.,human,1,분노,구역질 나는,"연애,결혼,출산",여성,청년,,emotion_분노,"emotion_분노_situation_연애,결혼,출산",25,17515,short
13619_3_human,나의 꼼꼼하고 세심한 면을 어필할까 봐.,human,3,분노,좌절한,"진로,취업,직장",여성,청년,,emotion_분노,"emotion_분노_situation_진로,취업,직장",22,13619,short
